date,channel,campaign_name,campaign_variant,impressions,clicks,ctr,bounces,bounce_rate,sessions_avg_duration_sec,conversions,conversion_rate,revenue,spend,cpa,roas,avg_order_value,new_customers,returning_customers
2024-01-01,Newsletter,Special Offers,N/A,1554,70,0.04514,20,0.2857,53,6,0.09205,219.84,0.0,0.0,219.84,36.64,3,2
2024-01-01,Influencer,Micro-Influencer,N/A,3684,92,0.02505,32,0.3478,149,1,0.02151,44.51,190.69,190.69,0.23,44.51,0,0
2024-01-01,Influencer,UGC Campaign,N/A,5298,114,0.02155,48,0.4211,97,1,0.01311,120.26,282.81,282.81,0.43,120.26,0,0
2024-01-01,Affiliate,Blog Partners,N/A,14566,581,0.0399,272,0.4682,25,30,0.05191,2382.9,0.0,0.0,2382.9,79.43,11,19
2024-01-02,Email,Welcome Series,N/A,2353,102,0.04371,55,0.5392,17,6,0.06177,381.48,0.0,0.0,381.48,63.58,3,2
2024-01-02,Email,Cart Abandonment,Control,1782,61,0.03467,31,0.5082,85,3,0.05298,298.59,0.0,0.0,298.59,99.53,1,1
2024-01-02,Email,Re-engagement,Control,1605,49,0.03092,21,0.4286,139,3,0.06828,284.25,0.0,0.0,284.25,94.75,0,1
2024-01-02,Google Ads,Brand Search,N/A,11742,327,0.02788,145,0.4434,27,8,0.02484,1162.4,458.85,57.36,2.53,145.3,3,4
2024-01-02,Google Ads,Shopping Ads,N/A,14931,379,0.02541,138,0.3641,71,13,0.03681,1394.12,483.63,37.2,2.88,107.24,5,5
2024-01-02,Facebook Ads,Lookalike Prospecting,N/A,4872,45,0.00928,26,0.5778,104,0,0.02214,0.0,70.86,70.86,0.0,31.14,0,0
2024-01-02,Facebook Ads,Dynamic Product Ads,N/A,8809,90,0.01029,57,0.6333,145,1,0.01923,78.07,140.44,140.44,0.56,78.07,0,0
2024-01-02,Facebook Ads,Lead Gen,N/A,7780,116,0.01497,29,0.25,93,2,0.02114,195.66,107.44,53.72,1.82,97.83,0,0
2024-01-02,Instagram Ads,Stories Ads,N/A,4402,68,0.01563,19,0.2794,103,1,0.01793,133.89,69.4,69.4,1.93,133.89,0,0
2024-01-02,Instagram Ads,Shopping Ads,N/A,7288,137,0.01887,43,0.3139,432,3,0.02376,139.23,119.36,39.79,1.17,46.41,0,1
2024-01-02,Instagram Ads,Influencer Collab,N/A,5173,70,0.0137,31,0.4429,110,1,0.01983,104.17,87.56,87.56,1.19,104.17,0,0
2024-01-02,Display,Premium Placement,Variant_A,14228,42,0.00302,23,0.5476,51,0,0.00655,0.0,67.05,67.05,0.0,56.41,0,0
2024-01-02,Display,Retargeting Banner,N/A,18033,61,0.00342,32,0.5246,54,0,0.00518,0.0,95.63,95.63,0.0,74.63,0,0
2024-01-02,TikTok Ads,In-Feed Ads,N/A,11928,249,0.02088,136,0.5462,40,3,0.01389,440.43,130.69,43.56,3.37,146.81,0,1
2024-01-02,TikTok Ads,Spark Ads,N/A,8136,152,0.01879,97,0.6382,122,1,0.01052,59.34,90.26,90.26,0.66,59.34,0,0
2024-01-02,TikTok Ads,TopView,N/A,11117,203,0.01833,120,0.5911,51,3,0.0194,253.32,132.47,44.16,1.91,84.44,1,1
2024-01-02,Newsletter,Monthly Digest,N/A,1351,64,0.04808,27,0.4219,20,5,0.08461,514.35,0.0,0.0,514.35,102.87,1,2
2024-01-02,Newsletter,Special Offers,N/A,1769,57,0.03245,27,0.4737,11,4,0.07699,516.52,0.0,0.0,516.52,129.13,1,2
2024-01-02,Influencer,Micro-Influencer,N/A,10998,254,0.02318,111,0.437,35,5,0.0201,392.5,510.43,102.09,0.77,78.5,1,1
2024-01-02,Affiliate,Cashback Sites,N/A,12991,473,0.03648,222,0.4693,56,28,0.06095,3286.08,0.0,0.0,3286.08,117.36,8,14
2024-01-03,Email,Weekly Newsletter,Variant_A,2744,80,0.0293,36,0.45,228,5,0.06944,239.7,0.0,0.0,239.7,47.94,1,3
2024-01-03,Email,Re-engagement,N/A,2348,68,0.02906,24,0.3529,24,5,0.08647,545.9,0.0,0.0,545.9,109.18,2,1
2024-01-03,Email,Product Launch,N/A,1704,56,0.03338,16,0.2857,70,4,0.07345,406.12,0.0,0.0,406.12,101.53,1,2
2024-01-03,Google Ads,Brand Search,N/A,5879,167,0.02856,101,0.6048,106,4,0.02405,340.0,229.59,57.4,1.48,85.0,1,2
2024-01-03,Google Ads,Generic Search,N/A,5851,172,0.02952,81,0.4709,88,4,0.02813,250.12,214.79,53.7,1.16,62.53,2,1
2024-01-03,Google Ads,Shopping Ads,N/A,5682,219,0.0387,125,0.5708,72,5,0.02687,279.05,199.95,39.99,1.4,55.81,2,2
2024-01-03,Google Ads,Performance Max,N/A,4494,127,0.02836,51,0.4016,111,4,0.03619,581.04,159.85,39.96,3.63,145.26,1,2
2024-01-03,Google Ads,Retargeting,N/A,6734,161,0.02399,97,0.6025,26,7,0.04768,357.35,247.5,35.36,1.44,51.05,3,3
2024-01-03,Facebook Ads,Lookalike Prospecting,Control,4426,57,0.01301,14,0.2456,44,1,0.03331,41.74,64.54,64.54,0.65,41.74,0,0
2024-01-03,Facebook Ads,Retargeting,N/A,5093,77,0.01522,44,0.5714,66,2,0.03237,81.2,70.76,35.38,1.15,40.6,0,0
2024-01-03,Facebook Ads,Dynamic Product Ads,Control,4348,57,0.01314,15,0.2632,82,1,0.02888,123.14,66.73,66.73,1.85,123.14,0,0
2024-01-03,Facebook Ads,Brand Awareness,N/A,2815,25,0.00917,7,0.28,29,0,0.03243,0.0,38.26,38.26,0.0,125.03,0,0
2024-01-03,Facebook Ads,Lead Gen,N/A,4480,59,0.01338,32,0.5424,25,1,0.02598,86.27,54.34,54.34,1.59,86.27,0,0
2024-01-03,Instagram Ads,Stories Ads,N/A,4650,55,0.01197,26,0.4727,248,0,0.01252,0.0,71.37,71.37,0.0,74.81,0,0
2024-01-03,Instagram Ads,Reels Ads,N/A,5127,70,0.0138,36,0.5143,324,1,0.02251,146.12,87.39,87.39,1.67,146.12,0,0
2024-01-03,Instagram Ads,Shopping Ads,N/A,3747,62,0.01666,23,0.371,39,1,0.02317,156.31,66.11,66.11,2.36,156.31,0,0
2024-01-03,Instagram Ads,Influencer Collab,N/A,5763,111,0.01942,49,0.4414,74,2,0.02371,299.6,101.65,50.83,2.95,149.8,0,0
2024-01-03,Display,Programmatic RTB,Control,53625,273,0.0051,154,0.5641,43,2,0.01009,100.96,295.95,147.97,0.34,50.48,0,1
2024-01-03,TikTok Ads,In-Feed Ads,N/A,12310,262,0.02135,104,0.3969,21,5,0.01914,674.85,153.34,30.67,4.4,134.97,1,2
2024-01-03,TikTok Ads,Spark Ads,N/A,10157,136,0.0134,67,0.4926,290,1,0.00961,124.1,131.84,131.84,0.94,124.1,0,0
2024-01-03,TikTok Ads,TopView,N/A,9412,160,0.0171,89,0.5563,41,1,0.01238,139.0,125.05,125.05,1.11,139.0,0,0
2024-01-03,Newsletter,Monthly Digest,N/A,1569,59,0.03768,30,0.5085,23,5,0.09065,319.7,0.0,0.0,319.7,63.94,2,2
2024-01-03,Newsletter,Special Offers,N/A,1185,39,0.03344,23,0.5897,79,3,0.07896,391.71,0.0,0.0,391.71,130.57,0,1
2024-01-03,Newsletter,Content Roundup,N/A,1333,60,0.04549,24,0.4,1016,5,0.08451,270.45,0.0,0.0,270.45,54.09,1,3
2024-01-03,Influencer,UGC Campaign,N/A,6790,158,0.02331,40,0.2532,24,3,0.02381,155.16,294.46,98.15,0.53,51.72,1,1
2024-01-03,Affiliate,Blog Partners,N/A,4543,114,0.02516,56,0.4912,55,5,0.0463,585.45,0.0,0.0,585.45,117.09,1,2
2024-01-03,Affiliate,Cashback Sites,N/A,5474,140,0.02568,71,0.5071,79,4,0.03369,568.16,0.0,0.0,568.16,142.04,2,1
2024-01-03,Affiliate,Coupon Sites,N/A,4305,148,0.03444,86,0.5811,189,9,0.06141,401.4,0.0,0.0,401.4,44.6,3,3
2024-01-04,Email,Flash Sale,N/A,2364,87,0.03691,42,0.4828,23,4,0.05602,462.08,0.0,0.0,462.08,115.52,1,1
2024-01-04,Email,Re-engagement,N/A,3065,114,0.03748,45,0.3947,556,8,0.07081,549.76,0.0,0.0,549.76,68.72,2,4
2024-01-04,Google Ads,Generic Search,N/A,10315,327,0.03173,160,0.4893,120,8,0.02702,799.76,372.52,46.56,2.15,99.97,2,3
2024-01-04,Google Ads,Shopping Ads,N/A,11958,393,0.03291,203,0.5165,101,8,0.02104,849.28,423.85,52.98,2.0,106.16,4,3
2024-01-04,Google Ads,Performance Max,N/A,10557,328,0.03111,165,0.503,245,14,0.04273,1747.2,390.48,27.89,4.47,124.8,5,8
2024-01-04,Facebook Ads,Lookalike Prospecting,Control,3883,34,0.00899,11,0.3235,338,0,0.02727,0.0,47.97,47.97,0.0,62.98,0,0
2024-01-04,Facebook Ads,Dynamic Product Ads,Variant_B,5486,57,0.01044,14,0.2456,342,1,0.03011,41.72,73.33,73.33,0.57,41.72,0,0
2024-01-04,Facebook Ads,Brand Awareness,Variant_B,3465,46,0.01351,14,0.3043,75,0,0.02167,0.0,52.7,52.7,0.0,52.09,0,0
2024-01-04,Facebook Ads,Lead Gen,N/A,5640,64,0.01136,36,0.5625,359,1,0.02684,135.51,76.76,76.76,1.77,135.51,0,0
2024-01-04,Instagram Ads,Stories Ads,N/A,5001,76,0.01528,36,0.4737,147,1,0.01885,79.88,85.0,85.0,0.94,79.88,0,0
2024-01-04,Instagram Ads,Reels Ads,N/A,5120,86,0.01693,48,0.5581,220,2,0.02359,204.46,81.17,40.59,2.52,102.23,0,0
2024-01-04,Instagram Ads,Shopping Ads,N/A,4385,59,0.01363,22,0.3729,72,1,0.02587,101.21,66.93,66.93,1.51,101.21,0,0
2024-01-04,Instagram Ads,Influencer Collab,N/A,4888,74,0.01532,39,0.527,65,1,0.0228,64.82,79.09,79.09,0.82,64.82,0,0
2024-01-04,Display,Programmatic RTB,N/A,15610,82,0.00528,32,0.3902,23,0,0.00939,0.0,76.31,76.31,0.0,145.94,0,0
2024-01-04,Display,Premium Placement,Variant_A,9783,39,0.00408,20,0.5128,165,0,0.00503,0.0,48.03,48.03,0.0,34.66,0,0
2024-01-04,Display,Retargeting Banner,Variant_A,13165,55,0.00419,17,0.3091,102,0,0.01053,0.0,70.55,70.55,0.0,134.35,0,0
2024-01-04,TikTok Ads,Spark Ads,N/A,11113,214,0.01932,131,0.6121,38,3,0.01651,245.16,118.88,39.63,2.06,81.72,1,1
2024-01-04,TikTok Ads,TopView,N/A,14243,184,0.01296,63,0.3424,156,2,0.01595,158.16,149.87,74.94,1.06,79.08,0,0
2024-01-04,Newsletter,Monthly Digest,N/A,2190,91,0.04178,46,0.5055,116,11,0.12335,529.43,0.0,0.0,529.43,48.13,4,5
2024-01-04,Newsletter,Content Roundup,N/A,2783,99,0.03562,49,0.4949,20,6,0.06574,267.72,0.0,0.0,267.72,44.62,1,2
2024-01-04,Influencer,Micro-Influencer,N/A,5738,146,0.02545,45,0.3082,113,3,0.02238,147.45,320.07,106.69,0.46,49.15,0,1
2024-01-04,Influencer,UGC Campaign,N/A,3354,87,0.02608,43,0.4943,217,1,0.01807,121.62,168.72,168.72,0.72,121.62,0,0
2024-01-04,Affiliate,Blog Partners,N/A,4923,120,0.02448,35,0.2917,129,7,0.0607,624.19,0.0,0.0,624.19,89.17,2,3
2024-01-04,Affiliate,Cashback Sites,N/A,4056,135,0.0334,40,0.2963,132,6,0.05179,813.06,0.0,0.0,813.06,135.51,2,3
2024-01-04,Affiliate,Coupon Sites,N/A,2792,68,0.02459,20,0.2941,473,2,0.04002,130.36,0.0,0.0,130.36,65.18,0,0
2024-01-05,Email,Welcome Series,N/A,1874,74,0.03993,33,0.4459,140,8,0.10951,1024.16,0.0,0.0,1024.16,128.02,3,4
2024-01-05,Email,Cart Abandonment,Variant_A,1284,40,0.03143,21,0.525,286,2,0.06755,205.3,0.0,0.0,205.3,102.65,0,0
2024-01-05,Email,Weekly Newsletter,Control,1367,46,0.03434,19,0.413,28,2,0.06402,205.82,0.0,0.0,205.82,102.91,0,0
2024-01-05,Email,Re-engagement,N/A,1220,34,0.02798,17,0.5,243,1,0.05212,118.26,0.0,0.0,118.26,118.26,0,0
2024-01-05,Google Ads,Brand Search,N/A,5777,193,0.03358,74,0.3834,42,4,0.02484,149.16,236.17,59.04,0.63,37.29,1,2
2024-01-05,Google Ads,Generic Search,N/A,6760,158,0.02351,64,0.4051,63,7,0.04755,561.05,232.14,33.16,2.42,80.15,2,3
2024-01-05,Google Ads,Shopping Ads,N/A,7475,256,0.03426,102,0.3984,48,10,0.03983,860.2,286.12,28.61,3.01,86.02,4,4
2024-01-05,Google Ads,Retargeting,N/A,6466,152,0.02355,96,0.6316,284,5,0.03712,281.2,245.39,49.08,1.15,56.24,1,2
2024-01-05,Facebook Ads,Lookalike Prospecting,Control,4516,47,0.01046,20,0.4255,79,0,0.01898,0.0,71.08,71.08,0.0,87.77,0,0
2024-01-05,Facebook Ads,Retargeting,N/A,4800,73,0.01532,24,0.3288,121,2,0.03116,238.74,70.09,35.05,3.41,119.37,0,0
2024-01-05,Facebook Ads,Dynamic Product Ads,Variant_A,4709,64,0.01373,38,0.5938,130,1,0.03053,82.32,73.56,73.56,1.12,82.32,0,0
2024-01-05,Facebook Ads,Brand Awareness,N/A,4632,52,0.01138,29,0.5577,56,1,0.034,61.59,57.32,57.32,1.07,61.59,0,0
2024-01-05,Facebook Ads,Lead Gen,Variant_B,4647,45,0.00971,12,0.2667,161,0,0.01677,0.0,61.4,61.4,0.0,133.03,0,0
2024-01-05,Instagram Ads,Stories Ads,N/A,4680,53,0.01151,19,0.3585,446,0,0.01858,0.0,73.06,73.06,0.0,142.25,0,0
2024-01-05,Instagram Ads,Reels Ads,N/A,3634,50,0.01403,30,0.6,91,1,0.02264,48.75,50.69,50.69,0.96,48.75,0,0
2024-01-05,Instagram Ads,Shopping Ads,N/A,5133,85,0.01666,28,0.3294,29,1,0.01352,91.11,85.48,85.48,1.07,91.11,0,0
2024-01-05,Instagram Ads,Influencer Collab,N/A,5393,79,0.01478,50,0.6329,56,1,0.01508,100.54,75.83,75.83,1.33,100.54,0,0
2024-01-05,Display,Premium Placement,N/A,13429,42,0.00319,25,0.5952,11,0,0.00996,0.0,75.59,75.59,0.0,49.02,0,0
2024-01-05,Display,Retargeting Banner,Control,22671,64,0.00284,38,0.5938,208,0,0.00764,0.0,136.96,136.96,0.0,36.13,0,0
2024-01-05,TikTok Ads,In-Feed Ads,N/A,12618,229,0.0182,98,0.4279,47,2,0.00923,208.5,145.89,72.94,1.43,104.25,0,0
2024-01-05,TikTok Ads,Spark Ads,N/A,6066,108,0.01791,28,0.2593,31,1,0.01236,58.78,65.34,65.34,0.9,58.78,0,0
2024-01-05,TikTok Ads,TopView,N/A,6554,106,0.01621,56,0.5283,68,1,0.01602,94.48,77.46,77.46,1.22,94.48,0,0
2024-01-05,Newsletter,Monthly Digest,N/A,1168,49,0.04214,14,0.2857,103,5,0.11891,203.0,0.0,0.0,203.0,40.6,2,2
2024-01-05,Newsletter,Special Offers,N/A,1665,66,0.03999,24,0.3636,62,6,0.09114,582.66,0.0,0.0,582.66,97.11,3,3
2024-01-05,Newsletter,Content Roundup,N/A,1172,45,0.03902,21,0.4667,128,6,0.13901,415.98,0.0,0.0,415.98,69.33,2,2
2024-01-05,Influencer,Micro-Influencer,N/A,5885,142,0.02417,56,0.3944,7,2,0.01823,65.9,329.97,164.99,0.2,32.95,0,1
2024-01-05,Influencer,Macro-Influencer,N/A,5114,101,0.01994,49,0.4851,186,2,0.02343,177.4,223.58,111.79,0.79,88.7,0,0
2024-01-05,Affiliate,Blog Partners,N/A,6720,192,0.02867,117,0.6094,19,8,0.04541,1193.68,0.0,0.0,1193.68,149.21,3,4
2024-01-05,Affiliate,Coupon Sites,N/A,4353,108,0.02492,62,0.5741,124,3,0.02961,97.17,0.0,0.0,97.17,32.39,1,1
2024-01-06,Email,Welcome Series,N/A,1302,52,0.03995,25,0.4808,22,3,0.07611,334.17,0.0,0.0,334.17,111.39,1,1
2024-01-06,Email,Cart Abandonment,N/A,1136,44,0.03883,18,0.4091,203,4,0.09823,318.4,0.0,0.0,318.4,79.6,1,2
2024-01-06,Email,Weekly Newsletter,Variant_A,1176,34,0.02917,16,0.4706,86,2,0.06856,231.84,0.0,0.0,231.84,115.92,0,0
2024-01-06,Email,Flash Sale,N/A,959,30,0.03165,12,0.4,30,1,0.0663,129.74,0.0,0.0,129.74,129.74,0,0
2024-01-06,Email,Product Launch,N/A,644,17,0.0265,7,0.4118,67,1,0.0659,61.14,0.0,0.0,61.14,61.14,0,0
2024-01-06,Google Ads,Generic Search,N/A,3924,114,0.02914,71,0.6228,39,4,0.03604,430.48,132.76,33.19,3.24,107.62,1,1
2024-01-06,Google Ads,Shopping Ads,N/A,5448,187,0.03434,89,0.4759,109,8,0.0429,543.2,214.64,26.83,2.53,67.9,2,3
2024-01-06,Google Ads,Performance Max,N/A,5719,118,0.0207,31,0.2627,542,4,0.03577,275.84,192.42,48.1,1.43,68.96,1,2
2024-01-06,Google Ads,Retargeting,N/A,5134,148,0.02896,84,0.5676,87,4,0.02903,422.84,222.3,55.58,1.9,105.71,2,1
2024-01-06,Facebook Ads,Lookalike Prospecting,N/A,2593,32,0.01242,20,0.625,51,0,0.02575,0.0,36.39,36.39,0.0,84.12,0,0
2024-01-06,Facebook Ads,Retargeting,Control,5248,86,0.01644,45,0.5233,54,2,0.02871,194.62,82.59,41.3,2.36,97.31,0,0
2024-01-06,Facebook Ads,Brand Awareness,N/A,4430,48,0.01096,17,0.3542,193,0,0.02035,0.0,66.83,66.83,0.0,43.61,0,0
2024-01-06,Facebook Ads,Lead Gen,Control,3266,49,0.0153,13,0.2653,174,1,0.02374,127.96,50.85,50.85,2.52,127.96,0,0
2024-01-06,Instagram Ads,Reels Ads,N/A,4224,68,0.01613,26,0.3824,263,1,0.01729,69.23,58.14,58.14,1.19,69.23,0,0
2024-01-06,Instagram Ads,Shopping Ads,N/A,6043,125,0.02069,60,0.48,60,3,0.0243,487.14,93.68,31.23,5.2,162.38,0,1
2024-01-06,Instagram Ads,Influencer Collab,N/A,5320,100,0.01894,61,0.61,239,1,0.01756,82.56,80.35,80.35,1.03,82.56,0,0
2024-01-06,Display,Premium Placement,N/A,12835,37,0.00296,14,0.3784,441,0,0.01039,0.0,70.28,70.28,0.0,134.24,0,0
2024-01-06,Display,Retargeting Banner,Variant_A,14808,48,0.00327,23,0.4792,575,0,0.00611,0.0,73.18,73.18,0.0,91.87,0,0
2024-01-06,TikTok Ads,In-Feed Ads,N/A,10600,213,0.02018,101,0.4742,244,2,0.01215,97.66,131.21,65.61,0.74,48.83,0,1
2024-01-06,TikTok Ads,TopView,N/A,9340,170,0.01823,46,0.2706,47,3,0.01967,200.01,107.8,35.93,1.86,66.67,1,1
2024-01-06,Newsletter,Monthly Digest,N/A,2340,79,0.03399,46,0.5823,142,8,0.10835,461.12,0.0,0.0,461.12,57.64,4,3
2024-01-06,Influencer,Micro-Influencer,N/A,1831,34,0.0191,19,0.5588,60,0,0.01585,0.0,93.14,93.14,0.0,117.91,0,0
2024-01-06,Influencer,Macro-Influencer,N/A,1847,31,0.01726,19,0.6129,44,0,0.02388,0.0,89.17,89.17,0.0,37.1,0,0
2024-01-06,Influencer,UGC Campaign,N/A,2537,44,0.01739,26,0.5909,341,0,0.01775,0.0,128.61,128.61,0.0,126.55,0,0
2024-01-06,Affiliate,Cashback Sites,N/A,4564,139,0.0305,84,0.6043,195,6,0.04725,243.54,0.0,0.0,243.54,40.59,1,3
2024-01-06,Affiliate,Coupon Sites,N/A,4931,119,0.02429,49,0.4118,397,4,0.03567,214.12,0.0,0.0,214.12,53.53,2,2
2024-01-07,Email,Welcome Series,N/A,988,27,0.02784,7,0.2593,126,1,0.04914,148.65,0.0,0.0,148.65,148.65,0,0
2024-01-07,Email,Cart Abandonment,Variant_A,1118,34,0.03104,8,0.2353,32,3,0.09622,330.54,0.0,0.0,330.54,110.18,1,1
2024-01-07,Email,Weekly Newsletter,Variant_A,865,28,0.03321,10,0.3571,47,1,0.05236,54.19,0.0,0.0,54.19,54.19,0,0
2024-01-07,Email,Flash Sale,N/A,719,27,0.03859,7,0.2593,230,2,0.1075,86.24,0.0,0.0,86.24,43.12,0,0
2024-01-07,Email,Product Launch,Variant_B,1116,37,0.03374,23,0.6216,60,3,0.0985,117.39,0.0,0.0,117.39,39.13,1,1
2024-01-07,Google Ads,Generic Search,N/A,5693,182,0.03205,94,0.5165,287,8,0.04542,789.36,234.31,29.29,3.37,98.67,2,4
2024-01-07,Google Ads,Shopping Ads,N/A,5528,173,0.03137,75,0.4335,72,6,0.03944,559.74,199.64,33.27,2.8,93.29,1,2
2024-01-07,Google Ads,Performance Max,N/A,5302,163,0.03092,45,0.2761,108,3,0.02379,222.96,196.04,65.35,1.14,74.32,1,1
2024-01-07,Facebook Ads,Lookalike Prospecting,N/A,4165,38,0.0093,23,0.6053,30,1,0.02729,116.74,66.77,66.77,1.75,116.74,0,0
2024-01-07,Facebook Ads,Dynamic Product Ads,N/A,4030,40,0.00999,22,0.55,83,0,0.02401,0.0,63.35,63.35,0.0,133.9,0,0
2024-01-07,Facebook Ads,Brand Awareness,Control,4324,36,0.00841,16,0.4444,83,0,0.02623,0.0,53.0,53.0,0.0,99.64,0,0
2024-01-07,Facebook Ads,Lead Gen,Variant_B,3072,30,0.00995,14,0.4667,89,0,0.03077,0.0,39.37,39.37,0.0,103.39,0,0
2024-01-07,Instagram Ads,Reels Ads,N/A,3617,62,0.0172,32,0.5161,426,0,0.01548,0.0,54.54,54.54,0.0,148.81,0,0
2024-01-07,Instagram Ads,Shopping Ads,N/A,5072,81,0.01605,40,0.4938,149,1,0.02199,154.39,70.96,70.96,2.18,154.39,0,0
2024-01-07,Instagram Ads,Influencer Collab,N/A,4785,75,0.01581,22,0.2933,216,1,0.02302,148.39,83.42,83.42,1.78,148.39,0,0
2024-01-07,Display,Programmatic RTB,N/A,14903,72,0.00487,43,0.5972,15,0,0.00648,0.0,70.58,70.58,0.0,153.95,0,0
2024-01-07,Display,Premium Placement,N/A,9882,33,0.00334,10,0.303,197,0,0.009,0.0,50.11,50.11,0.0,128.21,0,0
2024-01-07,Display,Retargeting Banner,N/A,8953,29,0.00334,11,0.3793,150,0,0.00708,0.0,54.67,54.67,0.0,93.83,0,0
2024-01-07,TikTok Ads,In-Feed Ads,N/A,9107,148,0.01631,72,0.4865,128,1,0.01132,81.14,117.68,117.68,0.69,81.14,0,0
2024-01-07,TikTok Ads,Spark Ads,N/A,6627,117,0.01773,52,0.4444,27,1,0.01419,50.71,88.61,88.61,0.57,50.71,0,0
2024-01-07,TikTok Ads,TopView,N/A,6344,98,0.01549,35,0.3571,113,1,0.01558,126.03,72.66,72.66,1.73,126.03,0,0
2024-01-07,Newsletter,Monthly Digest,N/A,1212,59,0.04898,35,0.5932,42,3,0.06476,316.14,0.0,0.0,316.14,105.38,1,1
2024-01-07,Newsletter,Special Offers,N/A,1003,43,0.043,26,0.6047,52,5,0.12101,411.5,0.0,0.0,411.5,82.3,2,2
2024-01-07,Newsletter,Content Roundup,N/A,1266,67,0.05371,19,0.2836,44,8,0.13129,610.24,0.0,0.0,610.24,76.28,2,4
2024-01-07,Influencer,Micro-Influencer,N/A,4327,86,0.02009,46,0.5349,257,1,0.02114,42.5,235.38,235.38,0.18,42.5,0,0
2024-01-07,Influencer,UGC Campaign,N/A,3551,92,0.02594,34,0.3696,165,1,0.01636,54.89,167.62,167.62,0.33,54.89,0,0
2024-01-07,Affiliate,Blog Partners,N/A,2272,80,0.03561,29,0.3625,113,3,0.04211,327.39,0.0,0.0,327.39,109.13,1,1
2024-01-07,Affiliate,Cashback Sites,N/A,3202,90,0.02815,42,0.4667,45,3,0.03741,163.05,0.0,0.0,163.05,54.35,1,1
2024-01-07,Affiliate,Coupon Sites,N/A,3343,77,0.02312,44,0.5714,204,4,0.05953,249.24,0.0,0.0,249.24,62.31,1,2
2024-01-08,Email,Cart Abandonment,N/A,1194,34,0.02906,15,0.4412,283,2,0.07593,127.4,0.0,0.0,127.4,63.7,0,0
2024-01-08,Email,Weekly Newsletter,Variant_A,1556,53,0.03434,24,0.4528,184,4,0.07614,509.24,0.0,0.0,509.24,127.31,1,2
